"","Coefficients"
"Intercept",0.118542203547711
"ln_distw",-0.0238630945051861
"ln_distw_squared",0.00235184182340387
"ln_uvmdn",-0.00355770990417702
"d_contig",-0.0273796901900728
"d_conti",-0.00152904509163344
"d_rta",-0.00425975762050991
"d_landlocked_i",0.00369756710287752
"d_landlocked_j",-0.00435815496310972
"d_dev_i",0.0102652392770192
"d_dev_j",0.0199472998245159
"d_hs_diff",-0.000516713845203444
"d_2015",0.00140037905013426
"d_2014",-0.000835415857452611
"d_2013",0.000940849896336624
"d_2012",0.00207507517222899
"d_2011",0.00139855480618947
"d_2010",0.00369182768795032
"d_2009",0.0060247958501155
"d_2008",0.00489230628769405
"d_2007",0.00602156842370566
"d_2006",0.00813441454743248
"d_2005",0.00791019292131822
"d_2004",0.00968432686586489
"d_2003",0.0123058671063562
"d_2002",0.0121892760695889
"d_2001",0.0124941137721519
