"","n_M_p","n_X_p","n_M","n_X","n_M_q","n_X_q","n_M_orphan","n_X_orphan","n_M_lost","n_X_lost"
"2016",8315803,7573851,4844311,4844311,4069645,4069645,3470875,2728923,2728923,3470875
"2015",8253162,7506868,4825866,4825866,4059340,4059340,3426979,2680685,2680685,3426979
"2014",8067019,7360394,4769214,4769214,4018830,4018830,3297513,2590888,2590888,3297513
"2013",8142416,7261068,4773430,4773430,4020041,4020041,3368817,2487469,2487469,3368817
"2012",7934660,7054203,4565174,4565174,3664263,3664263,3369310,2488853,2488853,3369310
"2011",7728149,6681629,4355326,4355326,3694086,3694086,3372646,2326126,2326126,3372646
"2010",7609392,6501312,4257965,4257965,3592097,3592097,3351258,2243178,2243178,3351258
"2009",7277276,6311598,4023390,4023390,3423392,3423392,3253886,2288208,2288208,3253886
"2008",7505486,6356873,4128312,4128312,3515984,3515984,3377174,2228561,2228561,3377174
"2007",7462583,6223508,4044223,4044223,3456348,3456348,3418360,2179285,2179285,3418360
"2006",7165174,6036665,3913954,3913954,3598892,3598892,3251220,2122711,2122711,3251220
"2005",6928242,5835646,3752791,3752791,3436280,3436280,3175451,2082855,2082855,3175451
"2004",6608204,5622957,3592395,3592395,3304505,3304505,3015809,2030562,2030562,3015809
"2003",6304292,5284942,3346401,3346401,3014602,3014602,2957891,1938541,1938541,2957891
"2002",6108456,5098683,3211034,3211034,2907586,2907586,2897422,1887649,1887649,2897422
"2001",5899442,4903351,3116597,3116597,2780090,2780090,2782845,1786754,1786754,2782845
