"year","raw_M","raw_X","raw_rX","raw_rM","treat_M","treat_X","treat_rX","treat_rM","swiss_M","swiss_X","swiss_rX","swiss_rM","M_pair","X_pair","M_matched","M_orphaned","X_matched","M_lost"
2001,6612524,5308819,275413,35925,5521483,4559392,228442,18036,5521581,4559490,228442,18036,5521581,4559490,2856302,2665279,2856302,1703188
2002,6823450,5521630,258845,43445,5722855,4748132,212728,21739,5722955,4748232,212728,21739,5722955,4748232,2947223,2775732,2947223,1801009
2003,7034989,5724051,290574,61500,5915752,4929597,238281,34740,5915857,4929702,238281,34740,5915857,4929702,3078665,2837192,3078665,1851037
2004,7362123,6079042,321950,49661,6213234,5256240,269403,25372,6213338,5256344,269403,25372,6213338,5256344,3313749,2899589,3313749,1942595
2005,7679233,6291845,432132,57259,6523359,5465283,365224,29847,6523467,5465391,365224,29847,6523467,5465391,3469973,3053494,3469973,1995418
2006,7924769,6496759,403282,53719,6749784,5657471,337769,26332,6749892,5657579,337769,26332,6749892,5657579,3621170,3128722,3621170,2036409
2007,8234877,6681625,512923,58342,7044109,5846924,438404,32983,7044210,5847025,438404,32983,7044210,5847025,3752686,3291524,3752686,2094339
2008,8265372,6810195,527236,63934,7088507,5978416,451158,36401,7088609,5978518,451158,36401,7088609,5978518,3834468,3254141,3834468,2144050
2009,8036740,6766470,465185,48078,6874232,5940339,390713,24267,6874335,5940442,390713,24267,6874335,5940442,3739536,3134799,3739536,2200906
2010,8376296,6959139,471781,69729,7192473,6122661,398086,38628,7192574,6122762,398086,38628,7192574,6122762,3961685,3230889,3961685,2161077
2011,8489095,7136332,440709,75249,7311732,6296337,371489,41887,7311842,6296447,371489,41887,7311842,6296447,4056693,3255149,4056693,2239754
2012,8700908,7522758,535780,85274,7513543,6661493,447314,42830,7513543,6661493,447314,42830,7513543,6661493,4261573,3251970,4261573,2399920
2013,8909049,7740898,550653,86915,7713283,6864882,461725,43563,7713283,6864882,461725,43563,7713283,6864882,4461127,3252156,4461127,2403755
2014,8826059,7839020,655351,78960,7640485,6959606,558016,34426,7640485,6959606,558016,34426,7640485,6959606,4456630,3183855,4456630,2502976
2015,9011642,7994630,560242,77734,7822583,7099377,471484,36300,7822583,7099377,471484,36300,7822583,7099377,4509053,3313530,4509053,2590324
2016,9099517,8062913,528159,62931,7932099,7175117,450361,29205,7932099,7175117,450361,29205,7932099,7175117,4546763,3385336,4546763,2628354
